IE;CNPJ;RAZAO;SIT;ARRECADACAO;ENTRADAS;SAIDAS;REGIME;SEGM;MUNICIPIO;DRR;DATA-IE;CONTADOR
"077307488";"30479267000174";"SHUJIE GAO COMERCIO DE ARTIGOS DE ARMARINHO EIRELI";"A";;1.165,00;;"NORMAL";"TECIDOS";"RECIFE";"I";17/05/2018;
"077307305";"30479279000107";"EUDIRAN JOSE DA SILVA";"A";;761.866,66;874.590,50;"NORMAL";"ATACADO";"VERTENTES";"II";17/05/2018;
"077307216";"30479271000132";"IVANIA MARIA DA SILVA";"A";;623.855,18;767.651,00;"NORMAL";"ATACADO";"VERTENTES";"II";17/05/2018;
"077304110";"30468398000156";"GABRIELA CONCEICAO PINTO";"A";;;;"NORMAL";"TECIDOS";"TAQUARITINGA DO NORTE";"II";16/05/2018;
"077197100";"10202192000253";"RONALDO FRANCISCO SILVA DE MOURA-ME";"A";;10.872,18;;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";14/05/2018;
"077194934";"30433162000184";"LUZINETE MARIA DA SILVA EIRELI";"S";;;;"NORMAL";"TECIDOS";"CACHOEIRINHA";"II";11/05/2018;"RUI ROBSON ALVES SILVA"
"077188705";"30421501000102";"JOSIVAN JOSE ALVES";"S";;;;"NORMAL";"TECIDOS";"CARUARU";"II";10/05/2018;
"077178572";"29435626000293";"VALERIA APARECIDA DA SILVA";"A";;104.785,41;1.600,00;"SIMPLES NACIONAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";08/05/2018;
"077153901";"30296539000109";"CESAR AUGUSTO PARADISO 19204108720";"A";;728.737,12;;"SIMEI";"ATACADO DE ALIMENTOS";"PETROLINA";"III";07/05/2018;
"077149475";"30358189000150";"HUGO SILVA DOS SANTOS 32151418847";"A";;53.898,35;233.756,50;"SIMEI";"VAREJO";"CARUARU";"II";07/05/2018;
"077100468";"30378766000175";"MANOEL F. DE SOUZA JUNIOR EIRELI";"S";;378.309,64;;"NORMAL";"BEBIDAS";"ALIANCA";"I";07/05/2018;"SANDRA APARECIDA SOARES DA SILVA"
"077099940";"30370179000130";"JACKSON JOSE SANTANA";"S";;;;"SIMPLES NACIONAL";"TECIDOS";"TORITAMA";"II";04/05/2018;"CHARLENE CHAGAS SILVA SANTOS"
"077096509";"30365520000169";"P M SOARES VICENTE";"S";;;;"NORMAL";"TECIDOS";"SANTA CRUZ DO CAPIBARIBE";"II";04/05/2018;
"077096339";"30365354000109";"ANDERSON HENRIQUE DA SILVA - MERCADINHO";"S";;434.533,17;;"NORMAL";"BEBIDAS";"CAETES";"II";04/05/2018;"SANDRA APARECIDA SOARES DA SILVA"
"077095600";"30364209000103";"T. J. A. DA SILVA";"S";;578.489,18;;"NORMAL";"SUPERMERCADOS";"CORRENTES";"II";04/05/2018;"SANDRA APARECIDA SOARES DA SILVA"
"077094557";"30363466000112";"G. L. RODRIGUES DA SILVA";"S";;455.539,04;;"NORMAL";"BEBIDAS";"BONITO";"II";04/05/2018;"SANDRA APARECIDA SOARES DA SILVA"
"077045009";"30298765000110";"EVERALDO JOAO ANTONIO DA SILVA 58291199434";"B";;;;"NORMAL";"TECIDOS";"RECIFE";"I";30/04/2018;
"076995224";"30329366000170";"ALEX DE SOUZA TORRES";"A";;334.760,40;1.594.608,90;"NORMAL";"TECIDOS";"FREI MIGUELINHO";"II";30/04/2018;
"076994767";"30324145000109";"WEDJA PRISCILA LIRA ARRUDA MODAS";"S";;;;"SIMPLES NACIONAL";"TECIDOS";"CARUARU";"II";27/04/2018;"PAULO ZULENO TORRES"
"076990001";"30317636000122";"MF SIQUEIRA CONFECCOES LTDA";"S";;;;"NORMAL";"TECIDOS";"CARUARU";"II";27/04/2018;"MARLIENE MARIA DE ARAUJO"
"076986071";"30305756000100";"MAGNO JOSE DE SENA JUNIOR";"S";;260.425,78;71.050,00;"NORMAL";"INDUSTRIA DE ALIMENTOS";"PETROLINA";"III";26/04/2018;"JORGE LUIZ DA COSTA FIRMINO"
"076980111";"29842460000300";"GEOVANO BENTO ALVES";"A";;433.854,20;281.928,30;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";25/04/2018;
"076976190";"30284446000156";"GENILSON ARAUJO DA SILVA";"A";;215.668,48;3.460.763,71;"NORMAL";"BEBIDAS";"DORMENTES";"III";24/04/2018;
"076975541";"30283826000176";"P A DA SILVA";"A";;;;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";24/04/2018;
"076974146";"30281069000100";"E VICENTE DA SILVA EIRELI";"A";1.952,00;1.316.050,00;977.000,00;"NORMAL";"ATACADO";"VITORIA DE SANTO ANTAO";"II";24/04/2018;
"076971635";"30268078000152";"EDSON ROSA BARBOSA 10571992498";"B";;;;"NORMAL";"TECIDOS";"ARACOIABA";"I";23/04/2018;
"076947416";"30252994000102";"JOSE DO EGITO CRUZ DE BRITO 14713697494";"A";;23.564,67;577.879,49;"SIMEI";"VAREJO";"VERTENTES";"II";23/04/2018;
"076934519";"30243704000156";"EDVAN JOSE DOS SANTOS 09777595476";"A";1.000,39;19.873,88;1.118.964,10;"SIMEI";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";23/04/2018;
"076929604";"30223954000124";"CELESTE RAMOS PERRI 93401213849";"A";;256.152,49;;"SIMEI";"CIGARROS";"RECIFE";"I";23/04/2018;
"076896757";"30212980000157";"EDVALDO PEDRO ALEXANDRINO 09210627610";"A";;90.000,01;;"SIMEI";"TECIDOS";"RIACHO DAS ALMAS";"II";23/04/2018;
"076896595";"30212945000138";"MARCOS ANTONIO DE SOUZA SA 03452795659";"A";;90.000,02;;"SIMEI";"TECIDOS";"CARUARU";"II";23/04/2018;
"076896404";"30212931000114";"SILMO RODRIGUES DA SILVA JUNIOR 13103416644";"A";;248.440,00;;"SIMEI";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";23/04/2018;
"076896323";"30212900000163";"PAULO VICTOR COSTA FERREIRA 11445247682";"A";;90.014,24;;"SIMEI";"TECIDOS";"TAQUARITINGA DO NORTE";"II";23/04/2018;
