IE;TOKEN;CONT;SOMA
"000132691";"ICROPOLROUP@SUPERIG.COM.BR";11;32.222,02
"000132691";"icropolroup@superig.com.br";65;86.313,39
"000132691";"incropolroup@superig.com.br";1;2.129,00
"001072803";"compras@icasaplasticos.com.br";2;3.190,00
"001072803";"contato@icasaplasticos.com.br";1;11.859,75
"001072803";"g-metal@uol.com.br";1;477,28
"001072803";"nfe@metanaco.com.br";1;1.349,00
"001072803";"paulozarzar@live.com";1;332,00
"006124305";"msp.danfe@yahoo.com.br";2;1.383,69
"006124305";"mspbaby@superig.com.br";2;2.241,90
"006854028";".";5;95.700,90
"006854028";"123@HOTMAIL.COM";1;20.609,36
"006854028";"@LETHA.COM.BR";2;304,61
"006854028";"AVISTA@HOTMAIL.COM";1;748,75
"006854028";"BONIFACIO@HOTMAIL.COM";3;110.220,00
"006854028";"CASA-DO-ALHO@BOL.COM.BR";1;11.487,40
"006854028";"CLIENTE@THOTBRASIL.COM.BR";1;8.528,50
"006854028";"DBACOMERCIAL@GMAIL.COM";2;19.705,00
"006854028";"DSDSD@DSDSADsd.com";2;61.085,50
"006854028";"ELIAS@LETHA.COM.BR";2;2.057,35
"006854028";"HDASHD@DHASDJH.COM.BR";1;2.688,75
"006854028";"HILTONFOXFILHO@HOTMAIL.COM";1;665,39
"006854028";"JOAO@JOAO.COM.BR";1;19.612,70
"006854028";"LETHA@LETHA.COM.BR";29;380.654,16
"006854028";"OLINDA@GMAIL.COM";5;12.091,90
"006854028";"OLINDACOMERCIAL@HOTMAIL.COM";23;263.331,00
"006854028";"Olindacomercio@Hotmail.Com";3;17.231,00
"006854028";"SEMEMAIL@HOTMAIL.COM";9;96.676,00
"006854028";"VENDAS@FALABICHO.COM";2;5.605,20
"006854028";"WAGNER_VENDAS01@HOTMAIL.COM";4;288.815,34
"006854028";"WWW.ANTONIOAIRES@.COM";1;2.691,40
"006854028";"WWW.HOTMAIL.COM@";1;1.315,00
"006854028";"alberto@arcontabilidade.com.br";2;61.085,50
"006854028";"atacadistalideranca@gmail.com";2;29.383,67
"006854028";"brasilracoes@hotmail.com";21;1.102.455,83
"006854028";"bruna.millena@hotmail.com";1;21.951,60
"006854028";"casa.campo308@gmail.com.br";1;8.028,60
"006854028";"celeiro@celeiroracoes.com.br";1;29.708,65
"006854028";"cleilson.coelho@hotmail.com";2;31.991,17
"006854028";"cleitonrn@bol.com.br";3;48.412,10
"006854028";"cliente@thotbrasil.com.br";3;36.046,35
"006854028";"clientessememail@hotmail.com";1;4.955,40
"006854028";"comercial.bj@hotmail.com";1;1.600,00
"006854028";"compras.reidosfrios@outlook.com";1;11.769,00
"006854028";"contabil.atacadodosfrios@outlook.com";1;10.716,30
"006854028";"contasapagar@gruposaoroque.com";1;38.876,00
"006854028";"contatocompraspe@gamil.com";2;241.950,00
