Nota;;;;;;;;;;;;;;;;;Item;;;;;;;;;;;;;;;;;;;;;ICMS;;;;;;;;;;;;;;;;;;;;;;;
Chave Acesso;Serie;Numero;Data Emissao;Hora Emissao;Situacao;UF Emitente;Documento Emitente;IE Emitente;UF Destinatario;Documento Destinatario;IE Destinatario;Fone Destinatario;Email Destinatario;Tipo Operacao;Natureza Operacao;Numero Item;Codigo Produto;Codigo EAN;Descricao Produto;Codigo NCM;EXTIPI;CFOP;Unidade Comercial;Quantidade Comercial;Valor Unitario Comercializacao;Valor Produto;Codigo EAN Unidade Tributavel;Unidade Tributavel;Quantidade Tributavel;Valor Unitario de Tributacao;Valor Frete;Valor Seguro;Valor Desconto;Outras Despesas Acessorias;Compoe Valor Total;Informacoes Adicionais do Produto;Grupo de Tributacao;Origem Mercadoria;Tributacao ICMS;Codigo Situacao Operacao;Modalidade BC;% Reducao BC;Valor BC;Aliquota Imposto;Valor ICMS;Motivo Desoneracao;Modalidade BC ICMS ST;% Margem Valor Adic. ICMS ST;% Reducao ICMS ST;Valor BC ICMS ST;Aliquota Imposto ICMS ST;Valor ICMS ST;Valor BC ICMS ST Retido;Valor ICMS ST Retido;Valor BC ICMS ST Ret. Destino;Valor ICMS ST Ret. Destino;Aliquota Credito;Valor Credito;% BC;UF ICMS ST
="26140703868885000133550010000025421000025427";="1";="2542";31/07/2014;;="100 - USO AUTORIZADO";="PE";="03868885000133";="027187829";="PE";="40891707000150";="018162924";="08198471989";="varejao.guararapes@gmail.com";="1";="venda merc adq/receb terc oper merc suj";="1";="001306";="";="IMPRESSORA FISCAL DARUMA FS 700 MACH 1";="84433239";="";="5403";="UN";1,0000;1.800,0000;1.800,00;="";="UN";1,0000;1.800,0000;;;;;="1 - SIM";="SERIE:DR0814BR000000432781";="Simples Nacional 500";="0 - NACIONAL";="";="500 - ICMS COBRADO ANTER. P/ SUBST. TRIB. OU ANTECIPACAO";="";;;;;;="";;;;;;;;;;;;;
="26140816371582000152550020000013721000013721";="2";="1372";02/08/2014;;="100 - USO AUTORIZADO";="PE";="16371582000152";="049421328";="PE";="40891707000150";="018162924";="";="";="1";="Venda a prazo";="1";="18";="";="JERKED BEEF PA";="02102000";="";="5102";="CX";50,0000;321,0000;16.050,00;="";="CX";50,0000;321,0000;;;;;="1 - SIM";="";="GRUPO 40";="0 - NACIONAL";="41 - NAO TRIBUTADA";="";="";;;;;;="";;;;;;;;;;;;;
="26140816371582000152550020000013721000013721";="2";="1372";02/08/2014;;="100 - USO AUTORIZADO";="PE";="16371582000152";="049421328";="PE";="40891707000150";="018162924";="";="";="1";="Venda a prazo";="2";="19";="";="JERKED BEEF PA 6/5";="02102000";="";="5102";="CX";10,0000;330,0000;3.300,00;="";="CX";10,0000;330,0000;;;;;="1 - SIM";="";="GRUPO 40";="0 - NACIONAL";="41 - NAO TRIBUTADA";="";="";;;;;;="";;;;;;;;;;;;;
="26140816371582000152550020000013721000013721";="2";="1372";02/08/2014;;="100 - USO AUTORIZADO";="PE";="16371582000152";="049421328";="PE";="40891707000150";="018162924";="";="";="1";="Venda a prazo";="3";="8";="";="ARROZ BEN. PARB. P. L. F. TP1 RAMPINELLI 30X1 kg";="10062010";="";="5102";="FD";20,0000;58,0000;1.160,00;="";="FD";20,0000;58,0000;;;;;="1 - SIM";="";="GRUPO 00";="0 - NACIONAL";="00 - TRIBUTADA INTEGRALMENTE";="";="3 - VALOR DA OPERACAO";;1.160,00;17,00%;197,20;;="";;;;;;;;;;;;;
="26140816371582000152550020000013711000013716";="2";="1371";02/08/2014;;="100 - USO AUTORIZADO";="PE";="16371582000152";="049421328";="PE";="40891707000150";="018162924";="";="";="1";="Venda a prazo";="1";="5";="";="ARROZ BEN PAR LF/T1 30X1 NAMORADO";="10063011";="";="5102";="FD";140,0000;54,0000;7.560,00;="";="FD";140,0000;54,0000;;;;;="1 - SIM";="";="GRUPO 00";="0 - NACIONAL";="00 - TRIBUTADA INTEGRALMENTE";="";="3 - VALOR DA OPERACAO";;7.560,00;17,00%;1.285,20;;="";;;;;;;;;;;;;
="26140816371582000152550020000013711000013716";="2";="1371";02/08/2014;;="100 - USO AUTORIZADO";="PE";="16371582000152";="049421328";="PE";="40891707000150";="018162924";="";="";="1";="Venda a prazo";="2";="31";="";="FLOCAO DE MILHO BONOMILHO FD 20X500 GRS";="11041900";="";="5405";="FD";100,0000;16,7000;1.670,00;="";="FD";100,0000;16,7000;;;;;="1 - SIM";="";="GRUPO 60";="0 - NACIONAL";="60 - ICMS COBRADO ANTER. P/ SUBST. TRIB.";="";="";;;;;;="";;;;;;;;;;;;;
="26140816371582000152550020000013711000013716";="2";="1371";02/08/2014;;="100 - USO AUTORIZADO";="PE";="16371582000152";="049421328";="PE";="40891707000150";="018162924";="";="";="1";="Venda a prazo";="3";="53";="";="ACUCAR CRISTAL FARDO 10X1";="17019900";="";="5102";="FD";70,0000;12,5000;875,00;="";="FD";70,0000;12,5000;;;;;="1 - SIM";="";="GRUPO 00";="0 - NACIONAL";="00 - TRIBUTADA INTEGRALMENTE";="";="3 - VALOR DA OPERACAO";;875,00;17,00%;148,75;;="";;;;;;;;;;;;;
="26140816371582000152550020000013711000013716";="2";="1371";02/08/2014;;="100 - USO AUTORIZADO";="PE";="16371582000152";="049421328";="PE";="40891707000150";="018162924";="";="";="1";="Venda a prazo";="4";="19";="";="JERKED BEEF PA 6/5";="02102000";="";="5102";="CX";20,0000;309,0000;6.180,00;="";="CX";20,0000;309,0000;;;;;="1 - SIM";="";="GRUPO 40";="0 - NACIONAL";="41 - NAO TRIBUTADA";="";="";;;;;;="";;;;;;;;;;;;;
="26140816371582000152550020000013711000013716";="2";="1371";02/08/2014;;="100 - USO AUTORIZADO";="PE";="16371582000152";="049421328";="PE";="40891707000150";="018162924";="";="";="1";="Venda a prazo";="5";="18";="";="JERKED BEEF PA";="02102000";="";="5102";="CX";95,0000;306,0000;29.070,00;="";="CX";95,0000;306,0000;;;;;="1 - SIM";="";="GRUPO 40";="0 - NACIONAL";="41 - NAO TRIBUTADA";="";="";;;;;;="";;;;;;;;;;;;;
="26140816371582000152550020000013711000013716";="2";="1371";02/08/2014;;="100 - USO AUTORIZADO";="PE";="16371582000152";="049421328";="PE";="40891707000150";="018162924";="";="";="1";="Venda a prazo";="6";="8";="";="ARROZ BEN. PARB. P. L. F. TP1 RAMPINELLI 30X1 kg";="10062010";="";="5102";="FD";75,0000;57,0000;4.275,00;="";="FD";75,0000;57,0000;;;;;="1 - SIM";="";="GRUPO 00";="0 - NACIONAL";="00 - TRIBUTADA INTEGRALMENTE";="";="3 - VALOR DA OPERACAO";;4.275,00;17,00%;726,75;;="";;;;;;;;;;;;;
