Nota;;;;;;;;;;;;;;;;;Item;;;;;;;;;;;;;;;;;;;;;ICMS;;;;;;;;;;;;;;;;;;;;;;;
Chave Acesso;Serie;Numero;Data Emissao;Hora Emissao;Situacao;UF Emitente;Documento Emitente;IE Emitente;UF Destinatario;Documento Destinatario;IE Destinatario;Fone Destinatario;Email Destinatario;Tipo Operacao;Natureza Operacao;Numero Item;Codigo Produto;Codigo EAN;Descricao Produto;Codigo NCM;EXTIPI;CFOP;Unidade Comercial;Quantidade Comercial;Valor Unitario Comercializacao;Valor Produto;Codigo EAN Unidade Tributavel;Unidade Tributavel;Quantidade Tributavel;Valor Unitario de Tributacao;Valor Frete;Valor Seguro;Valor Desconto;Outras Despesas Acessorias;Compoe Valor Total;Informacoes Adicionais do Produto;Grupo de Tributacao;Origem Mercadoria;Tributacao ICMS;Codigo Situacao Operacao;Modalidade BC;% Reducao BC;Valor BC;Aliquota Imposto;Valor ICMS;Motivo Desoneracao;Modalidade BC ICMS ST;% Margem Valor Adic. ICMS ST;% Reducao ICMS ST;Valor BC ICMS ST;Aliquota Imposto ICMS ST;Valor ICMS ST;Valor BC ICMS ST Retido;Valor ICMS ST Retido;Valor BC ICMS ST Ret. Destino;Valor ICMS ST Ret. Destino;Aliquota Credito;Valor Credito;% BC;UF ICMS ST
="26140940891707000150550010000000011000000016";="1";="1";09/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="03612196000244";="038157497";="8134714777";="";="1";="Venda para Cliente";="1";="99900000001144";="9000000011441";="MACARRAO GRANNE SUL FINO 20X500GR";="19021100";="";="5102";="FD";642,0000;23,0000;14.766,00;="9000000011441";="FD";642,0000;23,0000;;;;;="1 - SIM";="";="GRUPO 60";="0 - NACIONAL";="60 - ICMS COBRADO ANTER. P/ SUBST. TRIB.";="";="";;;;;;="";;;;;;;;;;;;;
="26140940891707000150550010000000021000000021";="1";="2";10/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="09025514000176";="035562552";="8137511157";="";="1";="Venda para Cliente";="1";="99900000000449";="9000000004498";="P.A FAVORITO 20X500G";="02102000";="";="5102";="CX";1,0000;145,0000;145,00;="9000000004498";="CX";1,0000;145,0000;;;;;="1 - SIM";="";="GRUPO 40";="0 - NACIONAL";="41 - NAO TRIBUTADA";="";="";;;;;;="";;;;;;;;;;;;;
="26140940891707000150550010000000021000000021";="1";="2";10/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="09025514000176";="035562552";="8137511157";="";="1";="Venda para Cliente";="2";="99900000001136";="9000000011366";="LINGUICA CALABRESA ESTRELA 750GR";="16010000";="";="5102";="PCT";20,0000;5,9000;118,00;="9000000011366";="PCT";20,0000;5,9000;;;;;="1 - SIM";="";="GRUPO 00";="0 - NACIONAL";="00 - TRIBUTADA INTEGRALMENTE";="";="3 - VALOR DA OPERACAO";;118,00;17,00%;20,06;;="";;;;;;;;;;;;;
="26140940891707000150550010000000021000000021";="1";="2";10/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="09025514000176";="035562552";="8137511157";="";="1";="Venda para Cliente";="3";="99900000000822";="9000000008229";="2 PELOS FAVORITO 1X30KG";="02102000";="";="5102";="CX";1,0000;485,0000;485,00;="9000000008229";="CX";1,0000;485,0000;;;;;="1 - SIM";="";="GRUPO 40";="0 - NACIONAL";="41 - NAO TRIBUTADA";="";="";;;;;;="";;;;;;;;;;;;;
="26140940891707000150550010000000031000000037";="1";="3";10/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="09025514000176";="035562552";="8137511157";="";="1";="Venda para Cliente";="1";="99900000000206";="9000000002067";="PAINCO GRAO VERDE 20X500GR";="10082090";="";="5102";="FD";1,0000;30,0000;30,00;="9000000002067";="FD";1,0000;30,0000;;;;;="1 - SIM";="";="GRUPO 00";="0 - NACIONAL";="00 - TRIBUTADA INTEGRALMENTE";="";="3 - VALOR DA OPERACAO";;30,00;17,00%;5,10;;="";;;;;;;;;;;;;
="26140940891707000150550010000000031000000037";="1";="3";10/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="09025514000176";="035562552";="8137511157";="";="1";="Venda para Cliente";="2";="99900000000259";="9000000002593";="POLIDOR ALUMINIO ASTOLLI 12X500ML";="34022000";="";="5102";="CX";2,0000;12,9500;25,90;="9000000002593";="CX";2,0000;12,9500;;;;;="1 - SIM";="";="GRUPO 00";="0 - NACIONAL";="00 - TRIBUTADA INTEGRALMENTE";="";="3 - VALOR DA OPERACAO";;25,90;17,00%;4,40;;="";;;;;;;;;;;;;
="26140940891707000150550010000000031000000037";="1";="3";10/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="09025514000176";="035562552";="8137511157";="";="1";="Venda para Cliente";="3";="99900000001224";="9000000012240";="GEL FIXADOR AZUL VENEZA 06X220GR";="33049990";="";="5102";="PCT";1,0000;8,1000;8,10;="9000000012240";="PCT";1,0000;8,1000;;;;;="1 - SIM";="";="GRUPO 00";="0 - NACIONAL";="00 - TRIBUTADA INTEGRALMENTE";="";="3 - VALOR DA OPERACAO";;8,10;17,00%;1,38;;="";;;;;;;;;;;;;
="26140940891707000150550010000000031000000037";="1";="3";10/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="09025514000176";="035562552";="8137511157";="";="1";="Venda para Cliente";="4";="99900000001180";="9000000011809";="PAPEL HIG. BRASILEIRO 12X04 30MT";="48181000";="";="5102";="FD";3,0000;14,2000;42,60;="9000000011809";="FD";3,0000;14,2000;;;;;="1 - SIM";="";="GRUPO 60";="0 - NACIONAL";="60 - ICMS COBRADO ANTER. P/ SUBST. TRIB.";="";="";;;;;;="";;;;;;;;;;;;;
="26140940891707000150550010000000031000000037";="1";="3";10/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="09025514000176";="035562552";="8137511157";="";="1";="Venda para Cliente";="5";="99900000000159";="9000000001596";="MARGARINA DELINE 24X250GR";="15171000";="";="5102";="CX";3,0000;25,4000;76,20;="9000000001596";="CX";3,0000;25,4000;;;;;="1 - SIM";="";="GRUPO 00";="0 - NACIONAL";="00 - TRIBUTADA INTEGRALMENTE";="";="3 - VALOR DA OPERACAO";;76,20;17,00%;12,95;;="";;;;;;;;;;;;;
="26140940891707000150550010000000031000000037";="1";="3";10/09/2014;;="100 - USO AUTORIZADO";="PE";="40891707000150";="018162924";="PE";="09025514000176";="035562552";="8137511157";="";="1";="Venda para Cliente";="6";="99900000000160";="9000000001602";="MARGARINA DELINE 12X500GR";="15171000";="";="5102";="CX";3,0000;25,4000;76,20;="9000000001602";="CX";3,0000;25,4000;;;;;="1 - SIM";="";="GRUPO 00";="0 - NACIONAL";="00 - TRIBUTADA INTEGRALMENTE";="";="3 - VALOR DA OPERACAO";;76,20;17,00%;12,95;;="";;;;;;;;;;;;;
